,hyponym,hypernym,proposed_label
784,policy,the dod,1.0
785,maintenance of weapon system,dod materiel maintenance,0.0
786,hardware,dod materiel maintenance,0.0
787,equipment,dod materiel maintenance,0.0
788,the cost,supportability of dod materiel,2.0
789,schedule effectiveness,supportability of dod materiel,0.0
790,organic or unique military capability,military materiel,0.0
791,test,minimize requirement for support equipment,0.0
792,measurement,minimize requirement for support equipment,0.0
793,cost,factor,2.0
794,performance,factor,0.0
795,responsiveness,factor,0.0
796,requirement,unit maintenance manning authorization,0.0
797,depot maintenance,reporting on all contractor provide depot maintenance,0.0
798,both endure and non enduring location,installation,0.0
799,endure and non enduring location,installation,0.0
800,energy relate lesson,training,0.0
801,enhancement,industrial base responsiveness,2.0
802,military family housing construction,military facility,0.0
803,unspecified minor military construction,military facility,0.0
804,those reserve component facility,military facility,0.0
805,military family housing,military facility,0.0
806,reserve component facility,the annual military construction program,0.0
807,military family,the annual military construction program,0.0
808,the saudi arabian peninsula,middle east,2.0
809,egypt,middle east,2.0
810,somalia,newfoundland north africa,2.0
811,kenya,newfoundland north africa,2.0
812,the azores republic,portugal,2.0
813,equipment,it,0.0
814,a construction project,a finite ending,0.0
815,a research and development project,a finite ending,0.0
816,american national standards institute,intermodal form of transportation,0.0
817,international standards organization,intermodal form of transportation,1.0
818,compatible container to the maximum extent,intermodal form of transportation,0.0
819,military and civilian pay,appropriate fund,0.0
820,foreign government,government agency,2.0
821,u,the unique status of state aircraft,0.0
822,passport,requirement,1.0
823,visa,requirement,2.0
824,immunization criterion,requirement,1.0
825,responsibility,compliance with the dod fcp,0.0
826,u,aircraft,2.0
827,purpose of the trip,consideration,0.0
828,method of transportation,consideration,0.0
829,commander,all dod employee at any level,0.0
830,airlift,all dod employee at any level,0.0
831,service component,government air request from dod senior official within their respective command,0.0
832,sub unified command,government air request from dod senior official within their respective command,0.0
833,subordinate joint activity in accordance with this directive,government air request from dod senior official within their respective command,0.0
834,family member,all traveler,0.0
835,invite guest,all traveler,0.0
836,travel by a family member,unofficial travel,0.0
837,dod transportation engineering interest,national transportation policy,0.0
838,requirement,national transportation policy,0.0
839,aircraft,these resource,0.0
840,asset,these resource,0.0
841,service,these resource,0.0
842,transportation cost,official travel,0.0
843,the national interest,writing,0.0
844,billeting,this separation,0.0
845,unplanned or unanticipated schedule change,highly unusual circumstance,2.0
846,compelling mission requirement of the member sponsor,highly unusual circumstance,2.0
847,aircraft maintenance delay,highly unusual circumstance,2.0
848,carrier under charter,component,1.0
849,contract,component,1.0
850,cybersecurity vulnerability,the council on vulnerability identification,0.0
851,mitigation,the council on vulnerability identification,0.0
852,pnt service,oversight of the dod pnt enterprise,0.0
853,water selection,all aspect of land base water support for the military services during contingency operation,0.0
854,pumping,all aspect of land base water support for the military services during contingency operation,0.0
855,purification,all aspect of land base water support for the military services during contingency operation,0.0
856,storage,all aspect of land base water support for the military services during contingency operation,1.0
857,distribution,all aspect of land base water support for the military services during contingency operation,1.0
858,cooling,all aspect of land base water support for the military services during contingency operation,0.0
859,research,budget for water resource materiel,0.0
860,research,budget for water resource materiel,0.0
861,development,budget for water resource materiel,0.0
862,testing,an additional appropriate assessment,0.0
863,analysis,an additional appropriate assessment,0.0
864,dialogue with interested member of the public,establish national public involvement program,0.0
865,explosive and non explosive material,military munition,0.0
867,degradation,military munition,0.0
868,breakdown element of ordnance,military munition,0.0
869,munition,military munition,0.0
870,testing,an additional appropriate assessment,0.0
871,analysis,an additional appropriate assessment,0.0
872,acquisition,activity,1.0
873,procurement,activity,1.0
874,logistic,activity,2.0
875,recommendation,budgeting,0.0
876,bilateral or multilateral negotiation,international activity,2.0
877,security cooperation activity,international activity,0.0
878,information exchange,international activity,0.0
879,military activity,international activity,0.0
880,investigation,response action,0.0
881,removal action,response action,0.0
882,the territorial sea,navigable water,2.0
883,the unified facilities criteria program,resilience,2.0
884,life cycle analysis,climate change consideration,0.0
885,regional planning effort,opportunity,0.0
886,national preparedness,dod climate change policy for homeland defense activity,2.0
887,crisis management,dod climate change policy for homeland defense activity,2.0
888,defense mobilization in emergency situation,dod climate change policy for homeland defense activity,0.0
889,defense continuity program,dod climate change policy for homeland defense activity,0.0
890,mission assurance,dod climate change policy for homeland defense activity,0.0
891,the defense support of civil authorities,dod climate change policy for homeland defense activity,0.0
892,dsca,dod climate change policy for homeland defense activity,0.0
893,stabilization support,request for dod assistance,0.0
894,increase demand,climate change impact,0.0
895,resource for ha dr activity,climate change impact,0.0
896,change,risk to build and natural infrastructure,0.0
897,force structure,capacity,2.0
