Hyponym,Hypernym,Tag
visa,requirement,
extraction process,patient testing,
space,item,
fund control,function,
disabled veteran,disability,
child abuse,serious and violent crime,
training,security cooperation activity,
disposal,chain,
guidance,oversight,
a factor,circumstance,
survey,collection requirement,
who,all deceased or miss DoD civilian personnel,
ULP charge,matter,
the employ organization,time,
NSS,SATCOM resource IT resource,
III,designation,
contingency,the United States,
the member,function,
serious violation,any offense,
disposal,and realignment,
the condition,surplus property,
the National Agency Check,investigation,
application,critical feature,
training,DoD mission activity,
deploy force,that service member,
cigar,consumption,
repose,NCR JOA,
PME,all DoD entity,
equipment,article,
any party,a person,
snap requirement,programming,
presentation,the PPBE process,
basis,basis,
outreach program,approve PA activity,
forest,naturally occur fuel,
scientific merit,an IRB,
USA,military personnel,
wall,form,
responsibility,planning document,
support staff,program,
manufacture,nuclear weapon stockpile,
infrastructure,the CBRN mcr,
composition,the MRTFB,
ladderwell,structure,
unit,material master datum,
usher,capacity,
the responsible OSD PSA,command and staff channel,
associate agreement,location development,
severe psychiatric disorder,mental health condition,
public repose,interment JOA,
technology insertion,major program change,
program,DoD STARBASE Program guideline,
the form,all type,
previous location,the previous tank system,
the transmission,out assign function,
overtime,extra cost factor,
information sharing,the insider threat program,
interim status,appropriate RCRA permit,
any variation,Inventory discrepancy,
responsibility,functional oversight,
transfer,mean,
the physical protection and access requirement,applicable regulation,
private party,afn broadcast purpose,
but,Food and beverage activity,
debris removal,harbor,
adjustment,the Military Departments,
force structure,resource,
equipment,a minimum,
a joint civilian nafi,level,
official Government customer,imagery,
service,effort,
chrysotile,mineral silicate,
relevant DoD,health and medical materiel cache,
veterinarian participation,zoonotic disease,
ALP,the ALP,
military,all personnel,
paper,all write information,
planning,oversight,
the basis,the weapon system acquisition process,
insignia,athletic uniform,
accelerometer,attachment,
Biological Agents,Toxicological Agents,
inactive duty training,the Reserve Components,
training,a country,
mission impact,challenge,
operation,assignment,
passenger aircraft,liaison vehicle,
accident,insurance coverage,
congressional reporting,a high authority,
anonymous allegation,harassment allegation,
personnel,RTF capability,
head,GAO representative,
planning,the conduct,
website,online communication capability,
policy,YP facility,
resiliency,measure,
antibiotic,MCM,
a copy,all record,
search,the database,
assessment,use,
the tour length,the prescribed tour,
sexual assault,crime,
special purpose central fund,instrumentality,
education,relation activity,
information,asset,
hazard,HRA datum,
reduction,layout,
cold blooded animal,any live or dead vertebrate animal,
software,topic,
testing,the laser system life cycle,
the mutilation requirement,a minimum,
cleaning,work function,
national emergency,requirement,
tablet,those material,
the OFSC,formalism,
matter,Cyber Command,
quality representative,functional element,
Military Department execution,account,
clinical treatment,appropriate risk management strategy,
teleworker,participant,
special education,a FAPE,
security and antiterrorism measure,or area,
disparate treatment,discrimination,
color guard,military support,
wage,service,
the DoD information network infrastructure,the DoD IE,
investigation,response action,
customer,group,
removal,disciplinary action,
those policy,and directive,
working paper,information document,
graphic,datum,
cascade MAAs,write MAAs,
high personnel mobility,circumstance,
any decomposition,the remain,
development,a systematic investigation,
television,public medium,
country clearance,requirement,
distribution,DAWG meeting,
hazard,the job,
any applicable locality payment,overtime pay purpose,
disposal,the DoD Components,
Associated,Toxicological Agents,
helium,special gas,
officer candidate,the Military Services,
dissemination,public affair risk communication,
nongraduate,low priority,
reprimand,measure,
laboratory chemical,hazardous chemical,
preparatory act,suicide,
ETP request,the CJCS,
any lease facility,DoD jurisdiction,
automatic coverage,matter,
these offense,sexual misconduct,
IPEB,TDRL case,
contract,key enabler,
survey,activity,
training,mission program,
activity,the developmental BMDS,
organ,pathology waste,
select special access,service nonsensitive and sensitive position,
network,asset,
processing,activity,
video,large data file,
postage value imprinter,stamp paper,
DoDD,security policy,
a justification,IMMC chair,
the Service regulation,authority,
reception,meal,
component,munition,
a point device,method,
the Central Intelligence,agency,
ELOs,management training,
auditing,strategy,
arsenal,organization,
communication,critical infrastructure,
human capital,FVAP,
backup documentation,receipt,
the receiver,time,
ad hoc task,DoD force structure,
traditional religious leader,appropriate attendee,
the authority,installation commander,
information,the childs IEP,
tsp,o Retirement planning,
electronic mail,office automation package,
technology security,regulation,
chlorine,a halogen,
State licensure,the civilian community,
UFC,practice,
disposal,aircraft,
the VA,dod care provider,
length,work record,
program,Pentagon Reservation parking policy,
peacetime operate stock,petroleum product,
the installation,medical stakeholder,
the establishment,requirement,
procedure,program,
cloud computing platform,commercial hardware,
PII,control unclassified government datum,
selective placement factor,the certification,
drying,protective measure,
the time,an OCONUS customer,
war,DoD requirement,
an employee,the United States,
drawing,product,
PBL,and arrangement,
WMD,wmd risk,
utility,space,
the North Atlantic Treaty Organization,foreign country,
tenant relocation,project,
removal,the alarm service,
it standard profile,technical guidance,
monitoring,activity,
TFI,CTOC analysis,
associated safety,capability,
motion picture,graphic art,
legal action,event,
dissemination,record,
federal vehicle,contracting option,
load shedding,action,
technology,sustainment innovation,
strategic capability alternative,experimentation activity,
consult,diagnostic or evaluative purpose,
website,channel,
classification,the Components information security program,
dissemination,the evaluation,
navigation,operation,
work address,completeness,
survey,public information collection,
NWRM,all CII,
platinum,critical metal,
safety,the lease,
development,any systematic investigation,
the serial number,the housing,
the RC,the Military Services,
system,documentation,
the local situation warrant,initial action,
a requirement,instruction,
report,Military Department datum call,
job elimination,action,
SATCOM,space capability,
the National Guard,all DoD tenant organization,
Combat Camera imagery,visual information product,
subchapter M,regulation,
radio frequency identification,tool,
imprest fund,authorized purpose,
forum,personnel recovery issue,
base,sea and associate support activity,
action,process,
newspaper,public medium,
funding,dau,
release,the access issue,
clothing,expendable end item,
physical and electronic file,any form,
execution,the conduct,
JCIG meeting and capability demonstration,establish program event,
military standard,authoritative source,
computing,all DISN capability,
maintenance,category,
tournament,service,
application development,service,
any action,the investigation,
adult family member,CDPs,
information,investigation,
commercial partner,activity,
the Federally,Defense,
section,regulation,
the state purpose,one CMT,
training,the planning capability,
test method,tool,
program review decision,DoD Component ERA and BRAC account programming,
public benefit transfer,legal authority,
Restricted Data,information,
the Trust Territory,the United States,
research,peace,
wind,technology,
meat,add fat,
appropriate exemption criterion,appropriate medical standard,
financial data feeder system,the DoD,
personnel,Federal Government resource,
war reserve,petroleum product,
case study,reference material,
training mission,DoD aircraft,
train personnel,capability,
security clearance level,all special qualification,
act,disaster,
the scheduling,administrative task,
rating,member disability case,
purification,operation,
human resource support,area,
Military Department birthday,occasion,
research,all technical document,
the fuel manager defense,deploy automation system,
final,administrative matter,
access,academic and financial advising,
report,the DOHRP,
table service,food and beverage activity,
activity,assignment,
social medium,collaborative tool,
manager,the DoD,
OPCON,an operational relation,
training,violence prevention and response program,
