,hyponym,hypernym
1168,the Merit Systems Protection Board,any forum
1169,computer,electronic and allied equipment
1170,word processor,office automation package
1171,the communication,COMSEC
1172,the Military Service exchange,activity
1173,cost estimate assumption,document
1174,virus,harmful microorganism
1175,the form,all type
1176,FERPA,applicable privacy law
1177,alcohol,drug
1178,identification tag,item
1179,teleworker,participant
1180,focused recruitment,program
1181,organization,the Combatant Commands
1182,pom submission,DoD Component ERA and BRAC account programming
1183,content,experience
1184,foreign country unit,program
1185,compliance,cleanup standard
1186,medication,treatment
1187,the determination,package alcoholic beverage
1188,finding,the review
1189,retention and destruction requirement,detail
1190,gasoline,temperature cutting tool
1191,training,annual requirement
1192,a biological product,a drug
1193,conference,activity
1194,finance,administrative and business application
1195,inspection,function
1196,write notification,the training
1197,court probation,civilian community agency
1198,coordination,the Department
1199,the development,audit program
1200,basic training,accession program
1201,billing information,warranty
1202,PME,all DoD entity
1203,rail car,an external source
1204,facility operation,joint project
1205,mushroom,seven fresh topping
1206,structure,the CUI Registry
1207,executive,area
1208,software,relate technical datum
1209,risk analysis,security management process
1210,CNWDI,RD
1211,the transmission,out assign function
1212,DoD Component,the DISN
1213,milestone,performance goal
1214,research,peace
1215,Special,territory
1216,the PA planning process,DoD PA
1217,validate sampling plan,materiel
1218,transportation,critical infrastructure
1219,the Secretary,regulation
1220,distribution line break,circumstance
1221,network login,information system
1222,U,military personnel
1223,DoDI,all DoD policy
1224,a neighborhood,natural boundary
1225,the Olympic Games,program
1226,specialized firefighting equipment,fire base camp
1227,logistic,area
1228,record,HSR record
1229,the military community,group
1230,lead,sparking material
1231,official,document
1232,suppressor,Accessories
1233,the scheduling,administrative task
1234,transportation and materiel handling cost,security requirement
1235,execution,DoD PA
1236,support,the Committees requirement
1237,Service crosse,the Military Departments
1238,manager,the DoD
1239,request,Other Federal Government Agencies
1240,the use,improvement
1241,relevant DoD,health and medical materiel cache
1242,name brand casual dining,food and beverage activity
1243,violation,law
1244,all active and reserve cyber operation force,the DoD
1245,the use,contracting mechanism
1246,the Secretary,time
1247,STI,practice
1248,research,support
1249,the effect,information
1250,LRA tenant,common service
1251,enclosure,this Directive
1252,information,the request
1253,any disciplinary,the incident
1254,operational stress,principle
1255,JIE,the DODIN
1256,negative and positive control material,each qualitative procedure
1257,information,nuclear weapon system surety standard
1258,planning update,exist tool
1259,NSS,it
1260,datum,knowledge
1261,FW,pay plan
1262,BRAC,a military installation
1263,flood,adverse weather condition
1264,maintenance,retirement
1265,designate employee,method
1266,transfer,future real property asset
1267,training,NDMS
1268,human resource management,the SCO
1269,employee,occupant
1270,the Pan American Games,international sporting event
1271,copier,equipment
1272,CDRUSSTRATCOM,the Combatant Commanders
1273,lead styphnate,explosive
1274,who,fund
1275,luc,no further LTM
1276,the alternative,time
1277,tenant relocation,project
1278,military operation,DoD workplace
1279,factor,climate change consideration
1280,safety,relate technical area
1281,the Component head comment,Executive Secretary
1282,DoD issuance,support guidance
1283,schedule,environmental restoration phase
1284,measure,performance goal
1285,the specific misconduct,revocation
1286,training event,assignment
1287,contact,ongoing and active case management
1288,terrorist attack,report and managing emergency
1289,administrative report,record
1290,Care,Stock Readiness
1291,direct QRP commodity,QRP operation
1292,compliance,this instruction
1293,radiac,critical equipment
1294,the use,streamlined agreement procedure
1295,justification,special datum extract
1296,recommendation,clinical review panel
1297,tablet,mobile device
1298,mailing address,component
1299,research,contact
1300,tournament,service
1301,a bag,a receptacle
1302,a call,consideration
1303,assistance,financial service
1304,procedure,risk assessment methodology
1305,the consequence,datum
1306,the Merit Systems Protection Board,administrative tribunal
1307,cushion,article
1308,alarming service issue,various purpose
1309,closure,and installation
1310,logistic,administrative and business application
1311,a specific DoD Agency,the relevant DoD Component
1312,a dike,an impervious containment system
1313,any technical stop,the flight
1314,disk pack,any datum
1315,inspection,individual
1316,report,the appropriate authority
1317,the 1978 MARPOL Protocol,convention
1318,a list,the SHPE
1319,fund,resource
1320,Instructions,regulation
1321,the point,plan and emergency secure storage location
1322,DoD issuance,document
1323,MoDA,nominative position
1324,expeditionary,award
1325,missile fragmentation map,detail
1326,therapy animal,service dog
1327,information,deployment
1328,the institution facility inspection,program review
1329,program,related security cooperation
1330,credentialing program,direct training requirement
1331,the datum entry,the acquisition workforce
1332,promotion incentive,program
1333,privacy,HSR
1334,headquarters staff,the Army
1335,installation,sea and associate support activity
1336,the DD Form,document
1337,a U,any person
1338,error estimate,datum accuracy
1339,Combat Camera imagery,visual information product
1340,JCS,adjudication
1341,the geographic CCDR annual forecast,SFA
1342,coordination,all legal matter
1343,documentation,the site audit file
1344,video,mediate instruction
1345,shipment consolidation opportunity,good practice
1346,requirement,guidance
1347,the parent,the IFSP team
